,Analysis,Training Size,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
45,4,0.4,Random Forest Regressor,31.200533265638835,4.926156813731988,2.9354052351326883,Random Forest Regressor,31.153313307884687,2.9309626921154215
46,4,0.45,Random Forest Regressor,30.463536339523927,5.437315528302216,2.866067169120306,Random Forest Regressor,27.871224057620665,2.622177522151421
47,4,0.5,Random Forest Regressor,30.281610894470624,4.360467660429065,2.848951278847961,Random Forest Regressor,29.85289345580456,2.8086167306164094
48,4,0.55,Random Forest Regressor,29.80176264332322,3.7942519332902274,2.8038062469827976,Random Forest Regressor,28.59724120288874,2.6904825895959905
49,4,0.6,Random Forest Regressor,28.39380828464501,3.147481351572275,2.6713432355302507,Random Forest Regressor,30.47538339570263,2.8671817625931735
50,4,0.65,Random Forest Regressor,29.65838664313864,4.505702796237304,2.790317161461375,Random Forest Regressor,27.9890541338704,2.6332631987882515
51,4,0.7,Random Forest Regressor,28.282267799679772,3.2077672802541186,2.6608492955482443,Random Forest Regressor,28.636298859083226,2.694157207830531
52,4,0.75,Random Forest Regressor,27.529130319011035,4.112837056260102,2.589992695607872,Random Forest Regressor,25.819058135650426,2.4291058672721593
53,4,0.8,Random Forest Regressor,27.388358123058698,4.352944805411859,2.576748580917861,Random Forest Regressor,27.214492076673167,2.5603909341293694
54,4,0.85,Random Forest Regressor,26.86644154669665,2.9742845094687724,2.5276456813772654,Random Forest Regressor,24.937801825316328,2.3461956052960504
55,4,0.9,Random Forest Regressor,26.912887280197275,3.613258023593335,2.5320153839110824,Random Forest Regressor,28.75380803154916,2.705212693231881
56,5,0.25,Decision Tree Regressor,5.4931714088808725,3.5461342152622657,6.866464261101091,Decision Tree Regressor,6.834959156181306,8.543698945226632
57,5,0.3,Random Forest Regressor,4.897211330485125,2.0762918511699624,6.121514163106406,Random Forest Regressor,6.766751700145985,8.458439625182482
58,5,0.35,Random Forest Regressor,4.534692244628367,2.635633936362815,5.668365305785459,Random Forest Regressor,5.785110197740402,7.231387747175503
59,5,0.4,Linear Regressor,4.668781274795762,3.0730939013876553,5.835976593494703,Linear Regressor,8.22956342917167,10.286954286464587
60,5,0.45,Linear Regressor,4.306894048358683,2.2456558923679792,5.383617560448354,Linear Regressor,10.826422169375947,13.533027711719933
