,[Train Data] - Analysis,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
21,8,Random Forest Regressor,15.249061266018668,10.377108589380429,1.5159148368285418,Random Forest Regressor,15.206427254259609,1.51167657390523
22,8,Random Forest Regressor,14.208424775073539,9.21684877978198,1.412464777257709,Random Forest Regressor,15.206427254259609,1.51167657390523
23,8,Random Forest Regressor,13.947520117714664,8.313125833513222,1.3865281484916259,Random Forest Regressor,15.206427254259609,1.51167657390523
24,9,Multi-layer Regressor,3.8073315370374368,2.2068774910355615,4.759164421296796,Multi-layer Regressor,3.7756470129600794,4.719558766200099
25,9,Multi-layer Regressor,3.8731361979828582,2.326496115361667,4.841420247478573,Multi-layer Regressor,3.7756470129600794,4.719558766200099
26,9,Multi-layer Regressor,4.209911963327256,2.824315716724148,5.262389954159071,Multi-layer Regressor,3.7756470129600794,4.719558766200099
27,10,Random Forest Regressor,9.046728201557963,4.949156453547514,0.8723661090819518,Random Forest Regressor,6.441827752791821,0.6211784069196818
28,10,Random Forest Regressor,8.827286413378342,5.4870246665123865,0.8512055773782057,Random Forest Regressor,6.441827752791821,0.6211784069196818
29,10,Random Forest Regressor,9.426155108275587,5.083792589476685,0.9089538308438649,Random Forest Regressor,6.441827752791821,0.6211784069196818
30,11,Multi-layer Regressor,6.655768094495839,1.7147353967770422,8.319710118119799,Multi-layer Regressor,8.250918822350311,10.313648527937888
31,11,Multi-layer Regressor,6.707699597420427,1.7148785770613562,8.384624496775533,Multi-layer Regressor,8.250918822350311,10.313648527937888
32,11,Multi-layer Regressor,6.988937615703522,1.5728224394327177,8.736172019629402,Multi-layer Regressor,8.250918822350311,10.313648527937888
33,12,Random Forest Regressor,19.59915607624135,12.360481364445858,1.8899251913610189,Random Forest Regressor,10.21351845338939,0.9848784173360721
34,12,Random Forest Regressor,18.701842175966625,11.48172486555701,1.8033981930509553,Random Forest Regressor,10.21351845338939,0.9848784173360721
35,12,Random Forest Regressor,19.773918701095475,12.882261418829101,1.9067773601960114,Random Forest Regressor,10.21351845338939,0.9848784173360721
36,13,Random Forest Regressor,0.06375162666573164,0.03858198512337199,2.0760021934163686,Random Forest Regressor,0.06761668604018317,2.201863636624984
37,13,Random Forest Regressor,0.06594960850146088,0.04028295971819801,2.147577074728628,Random Forest Regressor,0.06761668604018317,2.201863636624984
38,13,Random Forest Regressor,0.06513397748304156,0.037858537157684925,2.1210169401592758,Random Forest Regressor,0.06761668604018317,2.201863636624984
39,14,Linear Regressor,0.038026444306691956,0.011855748361512307,1.4660815768303792,Linear Regressor,0.08316031908094704,3.206184905025597
40,14,Linear Regressor,0.038026444306691956,0.011855748361512307,1.4660815768303792,Linear Regressor,0.08316031908094704,3.206184905025597
41,14,Random Forest Regressor,0.03802144758091812,0.0165860878199156,1.4658889317452273,Random Forest Regressor,0.07229957765081842,2.787457011536279
42,15,Random Forest Regressor,0.06893881903283507,0.038580732680451015,2.244917455582813,Random Forest Regressor,0.05629929097016064,1.8333250091744697
43,15,Random Forest Regressor,0.07322424860381245,0.03455425379764973,2.3844677957761333,Random Forest Regressor,0.05629929097016064,1.8333250091744697
44,15,Random Forest Regressor,0.07098330515750359,0.03524814336171218,2.311493916470244,Random Forest Regressor,0.05629929097016064,1.8333250091744697
45,16,Random Forest Regressor,0.04415342484576252,0.020198672873192845,1.702302802708941,Random Forest Regressor,0.07882437889742568,3.0390159220402353
46,16,Random Forest Regressor,0.04188891473728627,0.018333012731818622,1.6149962819149644,Random Forest Regressor,0.07882437889742568,3.0390159220402353
47,16,Random Forest Regressor,0.04244129760084912,0.01650229814815412,1.6362929967246576,Random Forest Regressor,0.07882437889742568,3.0390159220402353
